GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,,Statement_Coverage,Branch_Coverage,Complexity,Rank_Statement,Rank_Branch,Rank_Complex,d^2 of S and B,d^2 of S and C,d^2 of B and C
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.ChildrenUpdateOperation,0,144,0,10,0,33,0,14,0,9,,1,1,14,7,8.5,8,2.25,1,0.25
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletConfiguration,0,26,0,0,0,8,0,4,0,4,,1,0.83,4,6.5,5,2.5,2.25,16,6.25
Apache Commons Configuration,org.apache.commons.configuration2.web,BaseWebConfiguration,0,51,0,8,0,10,0,10,0,6,,1,1,10,6,7,6,1,0,1
Apache Commons Configuration,org.apache.commons.configuration2.web,AppletConfiguration,45,0,4,0,9,0,5,0,3,0,,0,0,5,1,1.5,3.5,0.25,6.25,4
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletContextConfiguration,0,29,0,0,0,9,0,4,0,4,,1,0.83,4,4.5,3.5,2,1,6.25,2.25
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletFilterConfiguration,0,21,0,0,0,6,0,3,0,3,,1,0.83,3,4,3,1,1,9,4
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletRequestConfiguration,6,71,2,8,1,16,2,6,0,3,,0.922077922,0.8,8,2,2,2,0,0,0
Apache Commons Configuration,org.apache.commons.configuration2.spring,ConfigurationPropertiesFactoryBean,11,149,1,19,5,30,5,19,4,10,,0.93125,0.95,24,2,2,2,0,0,0
Apache Commons Configuration,org.apache.commons.configuration2.spring,ConfigurationPropertySource,29,11,2,0,7,3,3,2,2,2,,0.275,0,5,1,1,1,0,0,0
,,,,,,,,,,,,,,,,,,,,751934.75,1999974.75,1040026.5
,,,,,,,,,,,,,,,,,,,,0.829514478,0.546547437,0.764195682
,,,,,,,,,,,,,,,,,,,,0.697158553,-0.159421483,-0.080908017
