GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,,Statement_Coverage,Branch_Coverage,Complexity,Rank_Statement,Rank_Branch,Rank_Complex,d^2 of S and B,d^2 of S and C,d^2 of B and C
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,106,0,6,0,17,0,5,0,2,,1,1,5,184.5,227,104,1806.25,6480.25,15129
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.BuilderVisitor,0,117,1,19,0,34,1,13,0,4,,1,0.95,14,184,166.5,179,306.25,25,156.25
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration.SubsetIterator,0,25,0,0,0,7,0,4,0,4,,1,0.83,4,183.5,82,81.5,10302.25,10404,0.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils,36,367,1,33,11,95,4,37,3,21,,0.910669975,0.970588235,41,44,173,241,16641,38809,4624
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},0,50,0,2,0,6,0,3,0,2,,1,1,3,182,223.5,59,1722.25,15129,27060.25
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationConverter,0,76,0,6,0,24,0,8,0,5,,1,1,8,181.5,223,137,1722.25,1980.25,7396
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedKeysVisitor,0,96,0,6,0,22,0,9,0,6,,1,1,9,181,222.5,145,1722.25,1296,6006.25
Apache Commons Configuration,org.apache.commons.configuration2,EnvironmentConfiguration,0,22,0,0,0,5,0,4,0,4,,1,0.83,4,180.5,81.5,80,9801,10100.25,2.25
Apache Commons Configuration,org.apache.commons.configuration2,DataConfiguration.DataConversionHandler,1,34,1,5,0,8,1,4,0,2,,0.971428571,0.833333333,5,74,131.5,100.5,3306.25,702.25,961
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.DefaultIOFactory,0,14,0,0,0,3,0,3,0,3,,1,0.83,3,179,81,58.5,9604,14520.25,506.25
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationXMLReader.SAXVisitor,6,85,3,7,0,20,3,8,0,6,,0.934065934,0.7,11,53,21,153,1024,10000,17424
