GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,StatementCoverage,BranchCoverage,ComplexityCoverage,Rank_Statement,Rank_Branch,Rank_Complex,d^2ofQandR,d^2ofQandS,d^2ofRandS
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceEntry,33,189,16,26,5,37,14,16,0,9,0.851351351,0.619047619,30,71,34,198.5,1369,16256.25,27060.25
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.KeySet,0,53,0,4,0,15,0,8,0,6,1,1,8,171,192,107,441,4096,7225
Apache Commons Collections,org.apache.commons.collections4.map,PassiveExpiringMap,26,246,0,18,8,66,4,32,4,23,0.904411765,1,36,85,191.5,200.5,11342.25,13340.25,81
Apache Commons Collections,org.apache.commons.collections4.map,AbstractInputCheckedMapDecorator.EntrySet,0,116,1,9,0,21,1,8,0,4,1,0.9,9,169.5,145,115.5,600.25,2916,870.25
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.ListOrderedMapEntry,0,22,0,0,0,5,0,3,0,3,1,0.78,3,169,89.5,48,6320.25,14641,1722.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceMapIterator,0,48,0,6,0,15,0,8,0,5,1,1,8,168.5,189,105.5,420.25,3969,6972.25
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.EntryIterator,0,11,0,0,0,2,0,2,0,2,1,0.78,2,168,89,22.5,6241,21170.25,4422.25
Apache Commons Collections,org.apache.commons.collections4.map,HashedMap,0,35,0,0,0,15,0,7,0,7,1,0.78,7,167.5,88.5,93,6241,5550.25,20.25
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.EntrySet,10,116,0,10,0,24,0,11,0,6,0.920634921,1,11,91,186.5,129,9120.25,1444,3306.25
Apache Commons Collections,org.apache.commons.collections4.map,LRUMap,203,296,9,31,17,87,13,32,5,20,0.593186373,0.775,45,31,47,201.5,256,29070.25,23870.25
Apache Commons Collections,org.apache.commons.collections4.map,MultiKeyMap,149,1431,109,191,7,304,81,108,0,39,0.905696203,0.636666667,189,84,37,214,2209,16900,31329
Apache Commons Collections,org.apache.commons.collections4.map,AbstractInputCheckedMapDecorator.MapEntry,0,20,0,0,0,6,0,2,0,2,1,0.78,2,164,86,22,6084,20164,4096
Apache Commons Collections,org.apache.commons.collections4.map,SingletonMap.SingletonMapIterator,26,97,5,9,7,24,6,12,1,10,0.788617886,0.642857143,18,58,37,169,441,12321,17424
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap,22,433,4,38,1,99,4,45,0,28,0.951648352,0.904761905,49,96,139,202,1849,11236,3969
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap.Values,4,36,0,2,2,7,1,4,1,3,0.9,1,5,82,181,72,9801,100,11881
Apache Commons Collections,org.apache.commons.collections4.map,FixedSizeSortedMap,21,94,2,2,6,21,4,15,3,14,0.817391304,0.5,19,64,25,171,1521,11449,21316
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map,468,923,128,162,127,231,100,84,1,22,0.663551402,0.55862069,184,39,30,208,81,28561,31684
Apache Commons Collections,org.apache.commons.collections4.map,LinkedMap,9,76,0,4,4,21,2,12,2,10,0.894117647,1,14,77,178.5,147.5,10302.25,4970.25,961
Apache Commons Collections,org.apache.commons.collections4.map,AbstractInputCheckedMapDecorator.EntrySetIterator,0,24,0,0,0,6,0,2,0,2,1,0.78,2,157.5,82.5,21.5,5625,18496,3721
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceEntrySet,0,38,0,2,0,8,0,4,0,3,1,1,4,157,177,58,400,9801,14161
Apache Commons Collections,org.apache.commons.collections4.map,ReferenceMap,24,28,0,0,6,10,3,4,3,4,0.538461538,0.78,7,22,82,88.5,3600,4422.25,42.25
Apache Commons Collections,org.apache.commons.collections4.map,DefaultedMap,15,75,3,5,3,22,3,10,0,9,0.833333333,0.625,13,63.5,33,136,930.25,5256.25,10609
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.ListOrderedIterator,0,34,0,0,0,9,0,3,0,3,1,0.78,3,154.5,80.5,44.5,5476,12100,1296
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap.ReflectionFactory,15,26,1,3,2,8,1,4,0,3,0.634146341,0.75,5,34,39,68.5,25,1190.25,870.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceValuesIterator,0,8,0,0,0,3,0,2,0,2,1,0.78,2,153,79,21,5476,17424,3364
Apache Commons Collections,org.apache.commons.collections4.map,AbstractMapDecorator,0,92,0,4,0,27,0,20,0,18,1,1,20,152.5,171.5,166,361,182.25,30.25
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap,85,573,11,63,13,121,12,44,3,16,0.870820669,0.851351351,56,69,122,192,2809,15129,4900
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.KeySet,0,35,0,0,0,11,0,6,0,6,1,0.78,6,151,78.5,76.5,5256.25,5550.25,4
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.KeySetIterator,0,8,0,0,0,3,0,2,0,2,1,0.78,2,150.5,78,20.5,5256.25,16900,3306.25
Apache Commons Collections,org.apache.commons.collections4.map,SingletonMap,114,190,20,15,29,50,21,30,5,28,0.625,0.428571429,51,32,19,189,169,24649,28900
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.EntrySet,0,64,0,10,0,19,0,11,0,6,1,1,11,149,167,118.5,324,930.25,2352.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap.KeySetIterator,4,8,0,0,1,3,1,2,1,2,0.666666667,0.78,3,37,76.5,42,1560.25,25,1190.25
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.EntryIterator,34,42,3,3,8,9,3,4,1,3,0.552631579,0.5,7,23,23.5,82,0.25,3481,3422.25
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.EntrySetIterator,0,7,0,0,0,3,0,2,0,2,1,0.78,2,146.5,75,20,5112.25,16002.25,3025
Apache Commons Collections,org.apache.commons.collections4.map,CaseInsensitiveMap,5,60,0,4,2,19,1,9,1,7,0.923076923,1,10,77,163.5,106.5,7482.25,870.25,3249
Apache Commons Collections,org.apache.commons.collections4.map,AbstractSortedMapDecorator.SortedMapIterator,29,0,0,0,8,0,4,0,4,0,0,0.78,4,3,74.5,52.5,5112.25,2450.25,484
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.ValuesView,0,44,0,0,0,11,0,8,0,8,1,0.78,8,144,74,89,4900,3025,225
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.Lock,0,3,0,0,0,1,0,1,0,1,1,0.78,1,143.5,73.5,3,4900,19740.25,4970.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.EntrySetIterator,0,7,0,0,0,3,0,2,0,2,1,0.78,2,143,73,18.5,4900,15500.25,2970.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractIterableMap,0,9,0,0,0,2,0,2,0,2,1,0.78,2,142.5,72.5,18,4900,15500.25,2970.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap,10,331,0,40,4,72,3,40,3,20,0.970674487,1,43,95,158,173,3969,6084,225
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceKeySet,0,34,0,2,0,8,0,4,0,3,1,1,4,141,157.5,49,272.25,8464,11772.25
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableSortedMap,29,67,0,2,4,21,4,14,4,13,0.697916667,1,18,37,157,146.5,14400,11990.25,110.25
Apache Commons Collections,org.apache.commons.collections4.map,ReferenceIdentityMap,24,61,0,6,6,16,3,11,3,8,0.717647059,1,14,39,156.5,127,13806.25,7744,870.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.HashMapIterator,0,48,0,6,0,15,0,8,0,5,1,1,8,138.5,156,84.5,306.25,2916,5112.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractSortedMapDecorator,51,23,4,0,9,8,8,6,6,6,0.310810811,0,14,8,7,125.5,1,13806.25,14042.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap.LinkMapIterator,0,52,0,6,0,16,0,9,0,6,1,1,9,137,154.5,91,306.25,2116,4032.25
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap,13,327,5,39,2,86,6,38,1,21,0.961764706,0.886363636,44,85,113,167,784,6724,2916
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.HashIterator,6,147,2,18,2,36,2,14,0,6,0.960784314,0.9,16,84,115.5,135,992.25,2601,380.25
Apache Commons Collections,org.apache.commons.collections4.map,StaticBucketMap.Values,0,21,0,0,0,5,0,4,0,4,1,0.78,4,134.5,71,48.5,4032.25,7396,506.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceEntrySetIterator,0,7,0,0,0,3,0,2,0,2,1,0.78,2,134,70.5,17.5,4032.25,13572.25,2809
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableOrderedMap,0,72,0,2,0,24,0,13,0,12,1,1,13,133.5,150,115.5,272.25,324,1190.25
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.EntrySetView,0,92,0,8,0,26,0,16,0,12,1,1,16,133,149.5,131.5,272.25,2.25,324
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.ValuesIterator,0,8,0,0,0,3,0,2,0,2,1,0.78,2,132.5,70,17,3906.25,13340.25,2809
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.HashEntry,2,107,2,20,1,23,2,16,0,7,0.981651376,0.909090909,18,92,113,136,441,1936,529
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableEntrySet.UnmodifiableEntry,0,11,0,0,0,4,0,2,0,2,1,0.78,2,131,69.5,16.5,3782.25,13110.25,2809
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractListValuedMap.WrappedList,104,70,6,6,25,19,11,9,8,6,0.402298851,0.5,20,9,22,139.5,169,17030.25,13806.25
Apache Commons Collections,org.apache.commons.collections4.multimap,ArrayListValuedHashMap,34,48,2,0,10,16,4,6,3,6,0.585365854,0,10,24,6.5,94,306.25,4900,7656.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractListValuedMap.ValuesListIterator,44,76,0,4,11,18,6,7,6,5,0.633333333,1,13,27,144,112,13689,7225,1024
Apache Commons Collections,org.apache.commons.collections4.multimap,TransformedMultiValuedMap,10,156,4,16,2,35,4,15,0,9,0.939759036,0.8,19,72,99,134.5,729,3906.25,1260.25
Apache Commons Collections,org.apache.commons.collections4.multimap,HashSetValuedHashMap,25,38,0,0,8,13,3,5,3,5,0.603174603,0.78,8,25,67,80,1764,3025,169
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.KeysMultiSet.MapEntryTransformer,0,12,0,0,0,2,0,2,0,2,1,0.78,2,125.5,66.5,16,3481,11990.25,2550.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap,87,347,15,43,16,81,16,42,4,25,0.799539171,0.74137931,58,46,31,157.5,225,12432.25,16002.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.EntryValues.1.new Transformer() {...},0,20,0,0,0,2,0,2,0,2,1,0.78,2,124,65,15.5,3481,11772.25,2450.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.MultiValuedMapEntry,0,12,0,0,0,4,0,2,0,2,1,0.78,2,123.5,64.5,15,3481,11772.25,2450.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractListValuedMap,0,27,0,0,0,8,0,6,0,6,1,0.78,6,123,64,61,3481,3844,9
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.KeysMultiSet.MapEntryTransformer.new AbstractMultiSet.AbstractEntry() {...},0,19,0,0,0,3,0,3,0,3,1,0.78,3,122.5,63.5,31.5,3481,8281,1024
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.EntryValues.new LazyIteratorChain() {...},0,49,0,2,0,8,0,3,0,2,1,1,3,122,135.5,31,182.25,8281,10920.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.WrappedCollection,103,129,20,14,31,33,18,15,6,10,0.556034483,0.411764706,33,20,15,143,25,15129,16384
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.ValuesIterator,0,43,0,2,0,11,0,5,0,4,1,1,5,120.5,134,50,182.25,4970.25,7056
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.KeysMultiSet,0,56,1,1,0,12,1,7,0,7,1,0.5,8,120,19.5,72.5,10100.25,2256.25,2809
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.AsMap.AsMapEntrySet,0,50,0,2,0,11,0,7,0,6,1,1,7,119.5,132.5,64.5,169,3025,4624
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.EntryValues,0,15,0,0,0,3,0,3,0,3,1,0.78,3,119,61,30.5,3364,7832.25,930.25
Apache Commons Collections,org.apache.commons.collections4.multimap,UnmodifiableMultiValuedMap,24,55,0,2,6,13,6,11,6,10,0.696202532,1,17,30,131,119,10201,7921,144
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.MultiValuedMapIterator,27,39,5,1,7,11,5,5,2,5,0.590909091,0.166666667,10,23,12,82.5,121,3540.25,4970.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.AsMap,0,90,0,8,0,24,0,15,0,11,1,1,15,116.5,129.5,110,169,42.25,380.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.Values,0,40,0,2,0,9,0,5,0,4,1,1,5,116,129,48.5,169,4556.25,6480.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractSetValuedMap,0,27,0,0,0,8,0,6,0,6,1,0.78,6,115.5,59.5,55.5,3136,3600,16
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMap.AsMap.AsMapEntrySetIterator,0,24,0,0,0,6,0,2,0,2,1,0.78,2,115,59,14.5,3136,10100.25,1980.25
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractMultiValuedMapDecorator,26,98,0,4,5,26,5,21,5,19,0.790322581,1,26,41,126.5,129.5,7310.25,7832.25,9
Apache Commons Collections,org.apache.commons.collections4.multimap,AbstractSetValuedMap.WrappedSet,4,33,1,3,1,11,1,4,0,3,0.891891892,0.75,5,56,29.5,47,702.25,81,306.25
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableSet,0,45,0,2,0,13,0,10,0,9,1,1,10,112.5,125,78,156.25,1190.25,2209
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableSortedSet,0,83,0,2,0,24,0,15,0,14,1,1,15,112,124.5,104.5,156.25,56.25,400
Apache Commons Collections,org.apache.commons.collections4.set,MapBackedSet,5,151,1,9,1,31,1,22,0,18,0.967948718,0.9,23,77,94,121,289,1936,729
Apache Commons Collections,org.apache.commons.collections4.set,ListOrderedSet.OrderedSetIterator,14,28,0,0,3,9,2,3,2,3,0.666666667,0.78,5,27.5,57.5,46.5,900,361,121
Apache Commons Collections,org.apache.commons.collections4.set,TransformedSet,0,67,1,7,0,12,1,8,0,5,1,0.875,9,109.5,89,70.5,420.25,1521,342.25
Apache Commons Collections,org.apache.commons.collections4.set,AbstractSetDecorator,3,24,0,4,2,5,1,6,1,4,0.888888889,1,7,53.5,121,58,4556.25,20.25,3969
Apache Commons Collections,org.apache.commons.collections4.set,AbstractNavigableSetDecorator,39,28,0,0,9,7,8,6,8,6,0.417910448,0.78,14,10,57,97,2209,7569,1600
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableNavigableSet,0,122,0,2,0,32,0,20,0,19,1,1,20,107,119.5,112,156.25,25,56.25
Apache Commons Collections,org.apache.commons.collections4.set,AbstractSerializableSetDecorator,0,19,0,0,0,8,0,3,0,3,1,0.78,3,106.5,56.5,29,2500,6006.25,756.25
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedSet,0,31,0,4,0,6,0,7,0,5,1,1,7,106,118,56.5,144,2450.25,3782.25
Apache Commons Collections,org.apache.commons.collections4.set,CompositeSet,23,455,5,59,6,109,7,51,2,24,0.951882845,0.921875,58,66,93,129,729,3969,1296
Apache Commons Collections,org.apache.commons.collections4.set,ListOrderedSet,10,298,3,33,2,78,3,37,0,22,0.967532468,0.916666667,40,72,90.5,123.5,342.25,2652.25,1089
Apache Commons Collections,org.apache.commons.collections4.set,TransformedSortedSet,44,60,4,0,8,12,4,8,2,8,0.576923077,0,12,21,6,84,225,3969,6084
Apache Commons Collections,org.apache.commons.collections4.set,AbstractSortedSetDecorator,19,20,0,0,5,6,4,5,4,5,0.512820513,0.78,9,16,55,67,1521,2601,144
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedNavigableSet,15,74,0,0,3,15,3,11,3,11,0.831460674,0.78,14,41,54.5,92.5,182.25,2652.25,1444
Apache Commons Collections,org.apache.commons.collections4.set,PredicatedSortedSet,0,64,0,0,0,13,0,9,0,9,1,0.78,9,100.5,54,66.5,2162.25,1156,156.25
Apache Commons Collections,org.apache.commons.collections4.set,TransformedNavigableSet,55,74,4,0,10,15,6,11,4,11,0.573643411,0,17,19,5.5,100.5,182.25,6642.25,9025
Apache Commons Collections,org.apache.commons.collections4.iterators,EnumerationIterator,36,29,4,0,11,10,6,4,4,4,0.446153846,0,10,11,5,70.5,36,3540.25,4290.25
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorChain,84,154,6,14,13,43,8,16,4,10,0.647058824,0.7,24,19,23.5,109,20.25,8100,7310.25
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyMapIterator,0,10,0,0,0,4,0,3,0,3,1,0.78,3,97,50.5,28.5,2162.25,4692.25,484
Apache Commons Collections,org.apache.commons.collections4.iterators,SingletonIterator,0,75,0,14,0,22,0,13,0,6,1,1,13,96.5,107.5,84.5,121,144,529
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectArrayIterator,6,105,0,12,2,27,2,14,2,8,0.945945946,1,16,57,107,95,2500,1444,144
Apache Commons Collections,org.apache.commons.collections4.iterators,FilterIterator,17,98,1,13,5,33,4,14,3,8,0.852173913,0.928571429,18,40,85.5,97.5,2070.25,3306.25,144
Apache Commons Collections,org.apache.commons.collections4.iterators,SkippingIterator,0,60,0,8,0,17,0,8,0,4,1,1,8,94,105.5,61,132.25,1089,1980.25
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorIterable,0,44,1,5,0,12,1,6,0,4,1,0.833333333,7,93.5,76.5,55,289,1482.25,462.25
Apache Commons Collections,org.apache.commons.collections4.iterators,ReverseListIterator,10,100,2,6,2,31,2,13,0,11,0.909090909,0.75,15,50,25,89,625,1521,4096
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractListIteratorDecorator,5,49,1,1,1,17,1,11,0,11,0.907407407,0.5,12,49,15,77.5,1156,812.25,3906.25
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyIterator,0,14,0,0,0,6,0,4,0,4,1,0.78,4,91,48,36,1849,3025,144
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractUntypedIteratorDecorator,5,19,1,1,1,8,1,4,0,4,0.791666667,0.5,5,34,14.5,43,380.25,81,812.25
Apache Commons Collections,org.apache.commons.collections4.iterators,TransformIterator,23,28,0,0,11,9,6,5,6,5,0.549019608,0.78,11,16,46.5,71,930.25,3025,600.25
Apache Commons Collections,org.apache.commons.collections4.iterators,ArrayListIterator,5,113,0,8,1,25,1,14,1,10,0.957627119,1,15,54,99,84.5,2025,930.25,210.25
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableOrderedMapIterator,0,59,0,4,0,17,0,12,0,10,1,1,12,87.5,98.5,74,121,182.25,600.25
Apache Commons Collections,org.apache.commons.collections4.iterators,LoopingIterator,0,56,0,8,0,17,0,10,0,6,1,1,10,87,98,65,121,484,1089
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyOrderedMapIterator,0,10,0,0,0,4,0,3,0,3,1,0.78,3,86.5,46,28,1640.25,3422.25,324
Apache Commons Collections,org.apache.commons.collections4.iterators,NodeListIterator,7,71,3,9,1,15,3,8,0,5,0.91025641,0.75,11,47,22.5,68.5,600.25,462.25,2116
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractEmptyMapIterator,0,18,0,0,0,5,0,4,0,4,1,0.78,4,85,44.5,34.5,1640.25,2550.25,100
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractIteratorDecorator,0,8,0,0,0,3,0,2,0,2,1,0.78,2,84.5,44,14,1640.25,4970.25,900
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectGraphIterator,0,195,0,30,0,56,0,23,0,8,1,1,23,84,93.5,89.5,90.25,30.25,16
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableIterator,0,38,0,4,0,12,0,7,0,5,1,1,7,83.5,93,49.5,90.25,1156,1892.25
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorIterable.new Iterator() {...},4,14,0,0,2,3,1,3,1,3,0.777777778,0.78,4,29,43.5,33,210.25,16,110.25
Apache Commons Collections,org.apache.commons.collections4.iterators,LazyIteratorChain,0,99,0,12,0,28,0,11,0,5,1,1,11,82,91.5,64,90.25,324,756.25
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractMapIteratorDecorator,41,0,2,0,13,0,9,0,8,0,0,0,9,2.5,4.5,56,4,2862.25,2652.25
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractOrderedMapIteratorDecorator,49,0,2,0,15,0,11,0,10,0,0,0,11,2,4,62.5,4,3660.25,3422.25
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableListIterator,0,64,0,4,0,18,0,13,0,11,1,1,13,79.5,89,67,90.25,156.25,484
Apache Commons Collections,org.apache.commons.collections4.iterators,LoopingListIterator,16,137,3,21,4,39,4,21,1,12,0.895424837,0.875,25,41,65.5,84.5,600.25,1892.25,361
Apache Commons Collections,org.apache.commons.collections4.iterators,BoundedIterator,5,117,1,17,1,31,1,14,0,6,0.959016393,0.944444444,15,49,73,72,576,529,1
Apache Commons Collections,org.apache.commons.collections4.iterators,PeekingIterator,12,123,3,21,4,35,3,17,0,8,0.911111111,0.875,20,43,65,78.5,484,1260.25,182.25
Apache Commons Collections,org.apache.commons.collections4.iterators,SingletonListIterator,0,127,2,26,0,32,2,23,0,11,1,0.928571429,25,76,70,82,36,36,144
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableMapIterator,0,51,0,4,0,15,0,10,0,8,1,1,10,75.5,84.5,58.5,81,289,676
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyListIterator,2,12,0,0,1,5,1,3,1,3,0.857142857,0.78,4,35,41,32.5,36,6.25,72.25
Apache Commons Collections,org.apache.commons.collections4.iterators,FilterListIterator,68,191,6,30,18,60,15,24,9,12,0.737451737,0.833333333,39,22,63,84,1681,3844,441
Apache Commons Collections,org.apache.commons.collections4.iterators,CollatingIterator,79,322,9,39,18,87,10,36,4,18,0.802992519,0.8125,46,29,62,88,1089,3481,676
Apache Commons Collections,org.apache.commons.collections4.iterators,ZippingIterator,5,134,1,13,1,34,1,12,0,6,0.964028777,0.928571429,13,46,66.5,64.5,420.25,342.25,4
Apache Commons Collections,org.apache.commons.collections4.iterators,UniqueFilterIterator,0,5,0,0,0,2,0,1,0,1,1,0.78,1,71,40.5,2.5,930.25,4692.25,1444
Apache Commons Collections,org.apache.commons.collections4.iterators,PermutationIterator,0,262,0,34,0,45,0,21,0,4,1,1,21,70.5,79,75.5,72.25,25,12.25
Apache Commons Collections,org.apache.commons.collections4.iterators,PushbackIterator,12,50,3,5,3,12,3,7,0,6,0.806451613,0.625,10,29,17.5,56,132.25,729,1482.25
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorEnumeration,7,17,0,0,4,6,2,4,2,4,0.708333333,0.78,6,20,39,42,361,484,9
Apache Commons Collections,org.apache.commons.collections4.iterators,EntrySetMapIterator,121,0,10,0,31,0,14,0,9,0,0,0,14,1.5,3.5,64,4,3906.25,3660.25
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyOrderedIterator,0,10,0,0,0,4,0,3,0,3,1,0.78,3,67,37.5,25.5,870.25,1722.25,144
Apache Commons Collections,org.apache.commons.collections4.iterators,ArrayIterator,9,122,0,10,3,28,3,13,3,8,0.93129771,1,16,38,74.5,65.5,1332.25,756.25,81
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractEmptyIterator,0,37,0,0,0,12,0,11,0,11,1,0.78,11,65.5,37,56,812.25,90.25,361
Apache Commons Collections,org.apache.commons.collections4.iterators,ListIteratorWrapper,41,253,8,32,11,61,8,23,2,9,0.860544218,0.8,31,30,54.5,73,600.25,1849,342.25
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectArrayListIterator,6,112,0,8,3,23,1,14,1,10,0.949152542,1,15,39,72,62.5,1089,552.25,90.25
Apache Commons Collections,org.apache.commons.collections4,PredicateUtils,15,98,0,0,6,26,6,24,6,24,0.867256637,0.78,30,31,36.5,71,30.25,1600,1190.25
Apache Commons Collections,org.apache.commons.collections4,FunctorException,8,8,0,0,4,4,2,2,2,2,0.5,0.78,4,10,36,30,676,400,36
Apache Commons Collections,org.apache.commons.collections4,EnumerationUtils,3,53,0,6,1,13,1,6,1,3,0.946428571,1,7,36,69.5,43,1122.25,49,702.25
Apache Commons Collections,org.apache.commons.collections4,BagUtils,11,39,0,0,4,11,4,9,4,9,0.78,0.78,13,24,35.5,57,132.25,1089,462.25
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.2.new LazyIteratorChain() {...},0,23,0,2,0,4,0,3,0,2,1,1,3,59,68,25,81,1156,1849
Apache Commons Collections,org.apache.commons.collections4,ListUtils.LcsVisitor,0,19,0,0,0,8,0,5,0,5,1,0.78,5,58.5,35,33.5,552.25,625,2.25
Apache Commons Collections,org.apache.commons.collections4,SetUtils,43,155,1,31,13,36,14,26,13,11,0.782828283,0.96875,40,24,57,67,1089,1849,100
Apache Commons Collections,org.apache.commons.collections4,ComparatorUtils,19,98,4,14,5,25,6,15,2,10,0.837606838,0.777777778,21,26,19,63,49,1369,1936
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.UnmodifiableIterable,0,11,0,0,0,4,0,2,0,2,1,0.78,2,56,33.5,12.5,506.25,1892.25,441
Apache Commons Collections,org.apache.commons.collections4,FluentIterable,0,190,0,4,0,45,0,36,0,34,1,1,36,55.5,63.5,64,64,72.25,0.25
Apache Commons Collections,org.apache.commons.collections4,SetUtils.new SetUtils.SetView() {...},12,41,4,0,1,4,3,4,1,4,0.773584906,0,7,22,3,39.5,361,306.25,1332.25
Apache Commons Collections,org.apache.commons.collections4,SetUtils.new SetUtils.SetView() {...},0,33,0,4,0,3,0,5,0,3,1,1,5,54,62,32,64,484,900
Apache Commons Collections,org.apache.commons.collections4,SetUtils.new Predicate() {...},0,11,0,0,0,2,0,2,0,2,1,0.78,2,53.5,32,12,462.25,1722.25,400
Apache Commons Collections,org.apache.commons.collections4,SetUtils.new SetUtils.SetView() {...},0,33,0,4,0,3,0,5,0,3,1,1,5,53,60.5,30.5,56.25,506.25,900
