GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,Rank_Statement,Rank_Branch,Rank_Comp,d ^2 of S and B,d ^2 of S and C,d ^2 of B and C
Apache Commons Configuration,org.apache.commons.configuration2.reloading,CombinedReloadingController.MultiReloadingControllerDetector,0,45,0,6,0,13,0,6,0,3,1,1,6,52.5,66.5,36.5,196,256,900
Apache Commons Configuration,org.apache.commons.configuration2.reloading,PeriodicReloadingTrigger.new Runnable() {...},0,15,0,0,0,3,0,2,0,2,1,0.83,2,52,27,10,625,1764,289
Apache Commons Configuration,org.apache.commons.configuration2.reloading,FileHandlerReloadingDetector,3,139,0,20,2,39,0,23,0,13,0.978873239,1,23,22,65,67,1849,2025,4
Apache Commons Configuration,org.apache.commons.configuration2.reloading,ReloadingController,0,85,0,10,0,27,0,12,0,7,1,1,12,50.5,64.5,47,196,12.25,306.25
Apache Commons Configuration,org.apache.commons.configuration2.reloading,ReloadingEvent,0,22,0,0,0,6,0,4,0,4,1,0.83,4,50,26.5,25,552.25,625,2.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,InterpolatorSpecification.Builder,0,124,0,12,0,37,0,16,0,10,1,1,16,49.5,63,56,182.25,42.25,49
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup,62,119,3,7,17,33,8,12,6,9,0.657458564,0.7,20,8,9,61.5,1,2862.25,2756.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConstantLookup,0,109,1,7,0,32,1,9,0,6,1,0.875,10,48,39.5,43.5,72.25,20.25,16
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup.Variable,22,46,1,3,5,18,2,6,1,5,0.676470588,0.75,8,8,9,39,1,961,900
Apache Commons Configuration,org.apache.commons.configuration2.interpol,StringLookupAdapter,0,14,0,0,0,4,0,2,0,2,1,0.83,2,46.5,24,9.5,506.25,1369,210.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConfigurationInterpolator,0,319,0,42,0,82,0,47,0,26,1,1,47,46,58.5,65,156.25,361,42.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConfigurationInterpolator.new StringLookup() {...},0,18,0,2,0,3,0,3,0,2,1,1,3,45.5,58,18,156.25,756.25,1600
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup.new StringLookup() {...},1,20,1,1,0,3,1,2,0,2,0.952380952,0.5,3,18,5.5,17.5,156.25,0.25,144
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup.Variables,13,7,2,0,1,4,2,2,1,2,0.35,0,4,5,2,21.5,9,272.25,380.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,SystemPropertiesLookup,8,0,0,0,2,0,2,0,2,0,0,0.83,2,2,21.5,9,380.25,49,156.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,EnvironmentLookup,6,0,0,0,2,0,2,0,2,0,0,0.83,2,1.5,21,8.5,380.25,49,156.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,DefaultLookups,0,277,0,0,0,33,0,4,0,4,1,0.83,4,41,20.5,19,420.25,484,2.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,InterpolatorSpecification,0,39,0,0,0,14,0,5,0,5,1,0.83,5,40.5,20,23,420.25,306.25,9
Apache Commons Configuration,org.apache.commons.configuration2.interpol,DummyLookup,0,16,0,0,0,3,0,2,0,2,1,0.83,2,40,19.5,8,420.25,1024,132.25
Apache Commons Configuration,org.apache.commons.configuration2.resolver,DefaultEntityResolver,40,25,3,3,12,8,3,4,1,3,0.384615385,0.5,7,3,4,27.5,1,600.25,552.25
Apache Commons Configuration,org.apache.commons.configuration2.resolver,CatalogResolver,49,140,6,8,7,43,5,14,0,12,0.740740741,0.571428571,19,5,4,47.5,1,1806.25,1892.25
Apache Commons Configuration,org.apache.commons.configuration2.resolver,CatalogResolver.CatalogManager,8,54,5,3,3,22,4,9,0,9,0.870967742,0.375,13,6,3,34.5,9,812.25,992.25
Apache Commons Configuration,org.apache.commons.configuration2.resolver,CatalogResolver.Catalog,69,176,8,12,15,42,7,7,0,4,0.718367347,0.6,14,4,3,37,1,1089,1156
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeUpdateData,3,47,0,4,1,15,1,8,1,6,0.94,1,9,9,46.5,30.5,1406.25,462.25,256
Apache Commons Configuration,org.apache.commons.configuration2.tree,TrackedNodeModel,0,134,1,7,0,36,1,19,0,16,1,0.875,20,34.5,26,45,72.25,110.25,361
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultConfigurationKey,2,497,5,83,1,119,5,67,0,28,0.995991984,0.943181818,72,12,30,53,324,1681,529
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction,4,538,3,41,0,135,3,54,0,35,0.992619926,0.931818182,57,11,28,52,289,1681,576
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.AddAttributeOperation,0,21,0,0,0,5,0,2,0,2,1,0.83,2,32,15,7.5,289,600.25,56.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeNameMatchers,0,24,0,0,0,3,0,1,0,1,1,0.83,1,31.5,14.5,1.5,289,900,169
Apache Commons Configuration,org.apache.commons.configuration2.tree,ImmutableNode,0,318,0,26,0,66,0,32,0,19,1,1,32,31,41,47,100,256,36
Apache Commons Configuration,org.apache.commons.configuration2.tree,OverrideCombiner,0,147,1,19,0,29,1,13,0,4,1,0.95,14,30.5,28.5,33.5,4,9,25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeSelector,0,153,0,14,0,36,0,15,0,8,1,1,15,30,39.5,35.5,90.25,30.25,16
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngine,0,342,1,43,0,73,1,35,0,14,1,0.977272727,36,29.5,30,45,0.25,240.25,225
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTracker,8,344,2,26,1,79,2,28,0,16,0.977272727,0.928571429,30,10,25,44,225,1156,361
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.ChangeNodeValueOperation,0,16,0,0,0,4,0,2,0,2,1,0.83,2,28,14,6,196,484,64
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultConfigurationKey.KeyIterator,23,372,3,53,5,82,3,46,0,21,0.941772152,0.946428571,49,9,25,43,256,1156,324
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeNameMatchers.new NodeNameMatchers() {...},0,12,0,0,0,3,0,2,0,2,1,0.83,2,26.5,13.5,5.5,169,441,64
Apache Commons Configuration,org.apache.commons.configuration2.tree,QueryResult,0,113,0,8,0,27,0,14,0,10,1,1,14,26,34,31,64,25,9
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeNameMatchers.new NodeNameMatchers() {...},0,12,0,0,0,2,0,2,0,2,1,0.83,2,25.5,13,5,156.25,420.25,64
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeCombiner,0,31,0,0,0,10,0,6,0,6,1,0.83,6,25,12.5,20,156.25,25,56.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTracker.TrackedNodeData,0,95,0,8,0,18,0,13,0,9,1,1,13,24.5,31.5,27,49,6.25,20.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,TrackedNodeHandler,0,21,0,0,0,7,0,4,0,4,1,0.83,4,24,12,12.5,144,132.25,0.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ImmutableNode.Builder,0,177,0,24,0,61,0,29,0,17,1,1,29,23.5,30,36,42.25,156.25,36
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel,2,1059,6,88,0,266,6,98,0,57,0.998114986,0.936170213,104,9,20,36,121,729,256
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.AddAttributesOperation,0,16,0,0,0,4,0,2,0,2,1,0.83,2,22,11.5,4.5,110.25,306.25,49
Apache Commons Configuration,org.apache.commons.configuration2.tree,ReferenceTracker,13,133,4,16,2,35,4,12,0,6,0.910958904,0.8,16,5,3.5,28.5,2.25,552.25,625
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,79,0,8,0,18,0,6,0,2,1,1,6,20.5,26.5,17.5,36,9,81
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new ConfigurationNodeVisitorAdapter() {...},0,25,0,2,0,5,0,3,0,2,1,1,3,20,26,8,36,144,324
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,85,0,6,0,20,0,5,0,2,1,1,5,19.5,25.5,13.5,36,36,144
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,26,0,0,0,5,0,2,0,2,1,0.83,2,19,10,4,81,225,36
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,88,0,6,0,20,0,5,0,2,1,1,5,18.5,24,12,30.25,42.25,144
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,65,0,8,0,16,0,6,0,2,1,1,6,18,23.5,13,30.25,25,110.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,27,0,0,0,3,0,2,0,2,1,0.83,2,17.5,9.5,3.5,64,196,36
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.Operations,0,149,0,16,0,36,0,15,0,7,1,1,15,17,22,20,25,9,4
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.ChangeNodeNameOperation,0,16,0,0,0,4,0,2,0,2,1,0.83,2,16.5,9,3,56.25,182.25,36
Apache Commons Configuration,org.apache.commons.configuration2.tree,ConfigurationNodeVisitorAdapter,1,6,0,0,1,3,1,3,1,3,0.857142857,0.83,4,4,8.5,7,20.25,9,2.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,AbstractImmutableNodeHandler,0,115,0,14,0,24,0,22,0,15,1,1,22,15,19.5,22,20.25,49,6.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeAddData,0,38,0,2,0,13,0,7,0,6,1,1,7,14.5,19,10,20.25,20.25,81
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeCombiner.new AbstractImmutableNodeHandler() {...},4,3,0,0,2,1,2,1,2,1,0.428571429,0.83,3,3,8,4.5,25,2.25,12.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.Operation,0,6,0,0,0,1,0,1,0,1,1,0.83,1,13,7.5,1,30.25,144,42.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.RemoveAttributeOperation,0,16,0,0,0,4,0,2,0,2,1,0.83,2,12.5,7,1.5,30.25,121,30.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,TreeData,13,144,0,10,1,35,1,17,1,12,0.917197452,1,18,3,15.5,15.5,156.25,156.25,0
Apache Commons Configuration,org.apache.commons.configuration2.tree,MergeCombiner,0,218,1,27,0,47,1,18,0,5,1,0.964285714,19,11,12,16,1,25,16
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngineSymbols,0,166,0,4,0,45,0,14,0,12,1,1,14,10.5,14,12.5,12.25,4,2.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.new ConfigurationNodeVisitorAdapter() {...},0,23,0,0,0,5,0,2,0,2,1,0.83,2,10,6.5,1,12.25,81,30.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeHandlerDecorator,0,86,0,0,0,16,0,16,0,16,1,0.83,16,9.5,6,12,12.25,6.25,36
Apache Commons Configuration,org.apache.commons.configuration2.tree,TreeUtils,0,113,1,11,0,22,1,7,0,2,1,0.916666667,8,9,8,6.5,1,6.25,2.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,UnionCombiner,0,119,0,16,0,25,0,11,0,3,1,1,11,8.5,10.5,9,4,0.25,2.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTreeWalker,0,123,0,22,0,33,0,18,0,7,1,1,18,8,10,10,4,4,0
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngineSymbols.Builder,0,66,0,0,0,23,0,9,0,9,1,0.83,9,7.5,5.5,7,4,0.25,2.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.ChildrenUpdateOperation,0,144,0,10,0,33,0,14,0,9,1,1,14,7,8.5,8,2.25,1,0.25
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletConfiguration,0,26,0,0,0,8,0,4,0,4,1,0.83,4,6.5,5,2.5,2.25,16,6.25
Apache Commons Configuration,org.apache.commons.configuration2.web,BaseWebConfiguration,0,51,0,8,0,10,0,10,0,6,1,1,10,6,7,6,1,0,1
Apache Commons Configuration,org.apache.commons.configuration2.web,AppletConfiguration,45,0,4,0,9,0,5,0,3,0,0,0,5,1,1.5,3.5,0.25,6.25,4
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletContextConfiguration,0,29,0,0,0,9,0,4,0,4,1,0.83,4,4.5,3.5,2,1,6.25,2.25
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletFilterConfiguration,0,21,0,0,0,6,0,3,0,3,1,0.83,3,4,3,1,1,9,4
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletRequestConfiguration,6,71,2,8,1,16,2,6,0,3,0.922077922,0.8,8,2,2,2,0,0,0
Apache Commons Configuration,org.apache.commons.configuration2.spring,ConfigurationPropertiesFactoryBean,11,150,1,19,5,30,5,19,4,10,0.931677019,0.95,24,2,2,2,0,0,0
Apache Commons Configuration,org.apache.commons.configuration2.spring,ConfigurationPropertySource,29,11,2,0,7,3,3,2,2,2,0.275,0,5,1,1,1,0,0,0
,,,,,,,,,,,,,,,,,,,774720.5,2082813.5,1089630.5
,,,,,,,,,,,,,,,,,,SPEARMAN,0.832901272,0.550759937,0.764978634
,,,,,,,,,,,,,,,,,,PREASON,0.652105542,-0.128863272,-0.090614426
