GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,Rank.N,Rank.O,Rank.P,D*2(Q&R),D*2 (Q&S),D*2 (R&S)
Apache Commons Collections,org.apache.commons.collections4.map,Flat3Map.EntryIterator,34,42,3,3,8,9,3,4,1,3,0.552631579,0.5,7,10,13,9,9,1,16
Apache Commons Collections,org.apache.commons.collections4.map,CaseInsensitiveMap,5,60,0,4,2,19,1,9,1,7,0.923076923,1,10,30,57,17.5,729,156.25,1560.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap,10,331,0,40,4,72,3,40,3,20,0.970674487,1,43,43,56.5,63,182.25,400,42.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractReferenceMap.ReferenceKeySet,0,34,0,2,0,8,0,4,0,3,1,1,4,57.5,56,2,2.25,3080.25,2916
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableSortedMap,29,67,0,2,4,21,4,14,4,13,0.697916667,1,18,13,55.5,45,1806.25,1024,110.25
Apache Commons Collections,org.apache.commons.collections4.map,ReferenceIdentityMap,24,61,0,6,6,16,3,11,3,8,0.717647059,1,14,14,55,31,1681,289,576
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.HashMapIterator,0,48,0,6,0,15,0,8,0,5,1,1,8,55,54.5,11,0.25,1936,1892.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractSortedMapDecorator,51,23,4,0,9,8,8,6,6,6,0.310810811,0,14,5,3.5,29.5,2.25,600.25,676
Apache Commons Collections,org.apache.commons.collections4.map,AbstractLinkedMap.LinkMapIterator,0,52,0,6,0,16,0,9,0,6,1,1,9,53.5,53,11.5,0.25,1764,1722.25
Apache Commons Collections,org.apache.commons.collections4.map,MultiValueMap,13,327,5,39,2,86,6,38,1,21,0.961764706,0.886363636,44,37,30,57,49,400,729
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.HashIterator,6,147,2,18,2,36,2,14,0,6,0.960784314,0.9,16,36,31,36,25,0,25
Apache Commons Collections,org.apache.commons.collections4.map,UnmodifiableOrderedMap,0,72,0,2,0,24,0,13,0,12,1,1,13,51,50.5,24.5,0.25,702.25,676
Apache Commons Collections,org.apache.commons.collections4.map,ListOrderedMap.EntrySetView,0,92,0,8,0,26,0,16,0,12,1,1,16,50.5,50,34.5,0.25,256,240.25
Apache Commons Collections,org.apache.commons.collections4.map,AbstractHashedMap.HashEntry,2,107,2,20,1,23,2,16,0,7,0.981651376,0.909090909,18,39,32,37.5,49,2.25,30.25
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableSet,0,45,0,2,0,13,0,10,0,9,1,1,10,49,48.5,14,0.25,1225,1190.25
Apache Commons Collections,org.apache.commons.collections4.set,UnmodifiableSortedSet,0,89,0,2,0,24,0,15,0,14,1,1,15,48.5,48,29.5,0.25,361,342.25
Apache Commons Collections,org.apache.commons.collections4.set,MapBackedSet,5,151,1,9,1,31,1,22,0,18,0.967948718,0.9,23,37,30.5,42.5,42.25,30.25,144
Apache Commons Collections,org.apache.commons.collections4.set,TransformedSet,0,55,3,5,0,10,3,4,0,3,1,0.625,7,47,16,7.5,961,1560.25,72.25
Apache Commons Collections,org.apache.commons.collections4.set,CompositeSet,23,455,5,59,6,109,7,51,2,24,0.951882845,0.921875,58,34,31,51,9,289,400
Apache Commons Collections,org.apache.commons.collections4.set,ListOrderedSet,25,301,4,36,5,79,4,38,0,22,0.923312883,0.9,42,27,29,48,4,441,361
Apache Commons Collections,org.apache.commons.collections4.set,TransformedSortedSet,48,60,8,0,8,12,6,8,2,8,0.555555556,0,14,9,3,25,36,256,484
Apache Commons Collections,org.apache.commons.collections4.iterators,EnumerationIterator,36,29,4,0,11,10,6,4,4,4,0.446153846,0,10,6,2.5,12.5,12.25,42.25,100
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorChain,84,154,6,14,13,43,8,16,4,10,0.647058824,0.7,24,8,15.5,41,56.25,1089,650.25
Apache Commons Collections,org.apache.commons.collections4.iterators,SingletonIterator,0,75,0,14,0,22,0,13,0,6,1,1,13,41.5,40.5,21,1,420.25,380.25
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectArrayIterator,6,105,0,12,2,27,2,14,2,8,0.945945946,1,16,27,40,28,169,1,144
Apache Commons Collections,org.apache.commons.collections4.iterators,FilterIterator,17,98,1,13,5,33,4,14,3,8,0.852173913,0.928571429,18,16,27.5,30,132.25,196,6.25
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorIterable,0,44,1,5,0,12,1,6,0,4,1,0.833333333,7,39,21,7,324,1024,196
Apache Commons Collections,org.apache.commons.collections4.iterators,ReverseListIterator,5,98,1,5,1,30,1,13,0,11,0.951456311,0.833333333,14,27,20.5,21.5,42.25,30.25,1
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractListIteratorDecorator,5,49,1,1,1,17,1,11,0,11,0.907407407,0.5,12,20,9.5,17.5,110.25,6.25,64
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractUntypedIteratorDecorator,5,19,1,1,1,8,1,4,0,4,0.791666667,0.5,5,13,9,3,16,100,36
Apache Commons Collections,org.apache.commons.collections4.iterators,ArrayListIterator,5,113,0,8,1,25,1,14,1,10,0.957627119,1,15,25,34.5,21,90.25,16,182.25
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableOrderedMapIterator,0,59,0,4,0,17,0,12,0,10,1,1,12,34.5,34,16,0.25,342.25,324
Apache Commons Collections,org.apache.commons.collections4.iterators,LoopingIterator,0,56,0,8,0,17,0,10,0,6,1,1,10,34,33.5,10,0.25,576,552.25
Apache Commons Collections,org.apache.commons.collections4.iterators,NodeListIterator,7,71,3,9,1,15,3,8,0,5,0.91025641,0.75,11,19,14.5,12.5,20.25,42.25,4
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectGraphIterator,0,196,0,30,0,56,0,23,0,8,1,1,23,32.5,32,28,0.25,20.25,16
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableIterator,0,38,0,4,0,12,0,7,0,5,1,1,7,32,31.5,5.5,0.25,702.25,676
Apache Commons Collections,org.apache.commons.collections4.iterators,LazyIteratorChain,0,99,0,12,0,28,0,11,0,5,1,1,11,31.5,31,11,0.25,420.25,400
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractMapIteratorDecorator,41,0,2,0,13,0,9,0,8,0,0,0,9,2,2,7,0,25,25
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractOrderedMapIteratorDecorator,49,0,2,0,15,0,11,0,10,0,0,0,11,1.5,1.5,9.5,0,64,64
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableListIterator,0,64,0,4,0,18,0,13,0,11,1,1,13,29,28.5,10.5,0.25,342.25,324
Apache Commons Collections,org.apache.commons.collections4.iterators,LoopingListIterator,16,137,3,21,4,39,4,21,1,12,0.895424837,0.875,25,15,16.5,24.5,2.25,90.25,64
Apache Commons Collections,org.apache.commons.collections4.iterators,PeekingIterator,12,122,3,21,4,35,3,17,0,8,0.910447761,0.875,20,16,16,19,0,9,9
Apache Commons Collections,org.apache.commons.collections4.iterators,SingletonListIterator,0,127,2,26,0,32,2,23,0,11,1,0.928571429,25,26.5,18,23,72.25,12.25,25
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableMapIterator,0,51,0,4,0,15,0,10,0,8,1,1,10,26,25,7.5,1,342.25,306.25
Apache Commons Collections,org.apache.commons.collections4.iterators,FilterListIterator,68,191,6,30,18,60,15,24,9,12,0.737451737,0.833333333,39,9,15,23,36,196,64
Apache Commons Collections,org.apache.commons.collections4.iterators,CollatingIterator,84,317,10,38,19,86,11,35,4,18,0.790523691,0.791666667,46,9,13,24,16,225,121
Apache Commons Collections,org.apache.commons.collections4.iterators,PermutationIterator,0,262,0,34,0,45,0,21,0,4,1,1,21,23.5,22.5,19,1,20.25,12.25
Apache Commons Collections,org.apache.commons.collections4.iterators,PushbackIterator,12,51,3,5,3,12,3,7,0,6,0.80952381,0.625,10,10,9.5,7,0.25,9,6.25
Apache Commons Collections,org.apache.commons.collections4.iterators,EntrySetMapIterator,121,0,10,0,31,0,14,0,9,0,0,0,14,1,1,9,0,64,64
Apache Commons Collections,org.apache.commons.collections4.iterators,ArrayIterator,9,122,0,10,3,28,3,13,3,8,0.93129771,1,16,13,20,11.5,49,2.25,72.25
Apache Commons Collections,org.apache.commons.collections4.iterators,ListIteratorWrapper,41,253,8,32,11,61,8,23,2,9,0.860544218,0.8,31,9,11,18,4,81,49
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectArrayListIterator,6,112,0,8,3,23,1,14,1,10,0.949152542,1,15,13,18.5,9.5,30.25,12.25,81
Apache Commons Collections,org.apache.commons.collections4,EnumerationUtils,0,23,0,2,0,5,0,3,0,2,1,1,3,18,18,1,0,289,289
Apache Commons Collections,org.apache.commons.collections4,SetUtils,31,61,1,15,10,17,11,12,10,5,0.663043478,0.9375,23,5,13,14.5,64,90.25,2.25
Apache Commons Collections,org.apache.commons.collections4,ComparatorUtils,96,18,17,1,24,5,16,4,7,4,0.157894737,0.055555556,20,1,1,12.5,0,132.25,132.25
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.SetOperationCardinalityHelper,0,48,0,2,0,11,0,5,0,4,1,1,5,15.5,15.5,1.5,0,196,196
Apache Commons Collections,org.apache.commons.collections4,IteratorUtils,334,208,55,15,81,53,52,33,20,30,0.383763838,0.214285714,85,1,1,15,0,196,196
Apache Commons Collections,org.apache.commons.collections4,ClosureUtils,0,112,0,4,0,28,0,18,0,16,1,1,18,14,14,9.5,0,20.25,20.25
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils,13,32,3,7,3,8,3,4,0,2,0.711111111,0.7,7,3,7,3,16,0,16
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils,30,1483,16,290,6,369,15,202,0,64,0.980171844,0.947712418,217,10,10,14,0,16,16
Apache Commons Collections,org.apache.commons.collections4,ArrayStack,19,74,6,10,4,26,5,11,1,7,0.795698925,0.625,16,4,6,7,4,9,1
Apache Commons Collections,org.apache.commons.collections4,MapUtils,576,506,114,70,196,106,112,53,54,19,0.467652495,0.380434783,165,1,1,12,0,121,121
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.EquatorWrapper,2,32,1,1,1,9,1,4,0,4,0.941176471,0.5,5,6,2.5,1,12.25,25,2.25
Apache Commons Collections,org.apache.commons.collections4,ListUtils,42,374,9,65,9,89,13,47,5,18,0.899038462,0.878378378,60,4,5,10,1,36,25
Apache Commons Collections,org.apache.commons.collections4,ListUtils.Partition,46,51,3,3,4,12,4,3,1,3,0.525773196,0.5,7,1,2,1.5,1,0.25,0.25
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils.WrappedGet,30,79,4,4,6,17,8,12,4,12,0.724770642,0.5,20,1,1.5,6,0.25,25,20.25
Apache Commons Collections,org.apache.commons.collections4,TransformerUtils,0,128,0,4,0,32,0,23,0,21,1,1,23,5.5,5.5,6,0,0.25,0.25
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.CardinalityHelper,0,51,0,2,0,12,0,7,0,6,1,1,7,5,5,1,0,16,16
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils.WrappedPut,3,82,3,3,1,20,3,15,0,15,0.964705882,0.5,18,3,1,4,4,1,9
Apache Commons Collections,org.apache.commons.collections4.queue,TransformedQueue,0,78,1,3,0,16,1,10,0,9,1,0.75,11,3.5,1,1,6.25,6.25,0
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue.new Iterator() {...},0,192,0,18,0,32,0,13,0,4,1,1,13,3,2.5,1,0.25,4,2.25
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue,27,337,4,44,6,86,5,40,1,20,0.925824176,0.916666667,45,2,1,2,1,0,1
Apache Commons Collections,org.apache.commons.collections4.queue,UnmodifiableQueue,8,64,0,2,2,20,2,13,2,12,0.888888889,1,15,1,1,1,0,0,0
,,,,,,,,,,,,,,,,,,,329697,990075.25,1129828.75
,,,,,,,,,,,,,,,,,,Spearman,0.887448153,0.662008456,0.614299455
,,,,,,,,,,,,,,,,,,Pearson,0.820104641,-0.058345049,-0.090498196
