GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,Rank.N,Rank.O,Rank.P,D*2(Q&R),"D*2(Q,S)",D*2(R&S)
Apache Commons Configuration,org.apache.commons.configuration2.builder,ConfigurationBuilderEvent,0,28,0,0,0,6,0,3,0,3,1,0.83,3,98,52,38,2116,3600,196
Apache Commons Configuration,org.apache.commons.configuration2.builder,FileBasedBuilderParametersImpl,0,206,0,18,0,65,0,30,0,21,1,1,30,97.5,122.5,131.5,625,1156,81
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultReloadingDetectorFactory,0,20,0,2,0,4,0,3,0,2,1,1,3,97,122,37.5,625,3540.25,7140.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingFileBasedConfigurationBuilder.new ReloadingDetector() {...},0,28,0,6,0,7,0,6,0,3,1,1,6,96.5,121.5,68.5,625,784,2809
Apache Commons Configuration,org.apache.commons.configuration2.builder,ConfigurationBuilderResultCreatedEvent,0,25,0,2,0,7,0,4,0,3,1,1,4,96,121,49,625,2209,5184
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingBuilderSupportListener,0,38,0,2,0,14,0,4,0,3,1,1,4,95.5,120.5,48.5,625,2209,5184
Apache Commons Configuration,org.apache.commons.configuration2.builder,JndiBuilderParametersImpl,0,15,0,0,0,5,0,3,0,3,1,0.83,3,95,51.5,37,1892.25,3364,210.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,BasicBuilderParameters,6,455,0,46,2,109,0,52,0,29,0.986984816,1,52,40,119,134,6241,8836,225
Apache Commons Configuration,org.apache.commons.configuration2.builder,BasicConfigurationBuilder.new BeanDeclaration() {...},2,23,0,0,1,6,1,6,1,6,0.92,0.83,7,29,51,71.5,484,1806.25,420.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingFileBasedConfigurationBuilder,0,87,0,2,0,27,0,12,0,11,1,1,12,92.5,117.5,91,625,2.25,702.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,BasicConfigurationBuilder,2,448,1,39,1,135,1,55,0,36,0.995555556,0.975,56,40,91,132,2601,8464,1681
Apache Commons Configuration,org.apache.commons.configuration2.builder,XMLBuilderParametersImpl,0,71,0,0,0,17,0,9,0,9,1,0.83,9,91,50.5,81.5,1640.25,90.25,961
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory.BuilderConfigurationWrapperInvocationHandler,0,47,0,4,0,11,0,6,0,4,1,1,6,90.5,115,65,600.25,650.25,2500
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory,0,71,0,6,0,21,0,9,0,6,1,1,9,90,114.5,80,600.25,100,1190.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,DatabaseBuilderParametersImpl,0,46,0,0,0,15,0,8,0,8,1,0.83,8,89.5,50,75,1560.25,210.25,625
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultParametersManager,0,93,0,12,0,25,0,12,0,6,1,1,12,89,113,86.5,576,6.25,702.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,EventListenerParameters,0,26,0,0,0,9,0,5,0,5,1,0.83,5,88.5,49.5,57.5,1521,961,64
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Parameters,0,167,0,2,0,26,0,16,0,15,1,1,16,88,111.5,100,552.25,144,132.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Configurations,0,251,0,2,0,42,0,39,0,38,1,1,39,87.5,111,120.5,552.25,1089,90.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Parameters.ParametersIfcInvocationHandler,0,33,0,6,0,8,0,6,0,3,1,1,6,87,110.5,63.5,552.25,552.25,2209
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,17,0,0,0,3,0,2,0,2,1,0.83,2,86.5,49,19.5,1406.25,4489,870.25
Apache Commons Configuration,org.apache.commons.configuration2.io,AbsoluteNameLocationStrategy,0,24,0,6,0,6,0,5,0,2,1,1,5,86,109,56,529,900,2809
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,25,0,0,0,3,0,2,0,2,1,0.83,2,85.5,48.5,19,1369,4422.25,870.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,21,0,0,0,4,0,2,0,2,1,0.83,2,85,48,18.5,1369,4422.25,870.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,21,0,0,0,4,0,2,0,2,1,0.83,2,84.5,47.5,18,1369,4422.25,870.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new SynchronizerSupport() {...},3,5,0,0,2,3,2,3,2,3,0.625,0.83,5,13,47,52.5,1156,1560.25,30.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,17,0,0,0,3,0,2,0,2,1,0.83,2,83,46.5,17.5,1332.25,4290.25,841
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,17,0,0,0,3,0,2,0,2,1,0.83,2,82.5,46,17,1332.25,4290.25,841
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandlerListenerAdapter,0,8,0,0,0,6,0,6,0,6,1,0.83,6,82,45.5,55,1332.25,729,90.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,17,0,0,0,3,0,2,0,2,1,0.83,2,81.5,45,16.5,1332.25,4225,812.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,23,0,0,0,4,0,2,0,2,1,0.83,2,81,44.5,16,1332.25,4225,812.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocatorUtils,14,485,6,62,2,106,6,52,0,24,0.971943888,0.911764706,58,35,68,114,1089,6241,2116
Apache Commons Configuration,org.apache.commons.configuration2.io,FileSystemLocationStrategy,0,10,0,0,0,3,0,2,0,2,1,0.83,2,79.5,44,15.5,1260.25,4096,812.25
Apache Commons Configuration,org.apache.commons.configuration2.io,BasePathLocationStrategy,0,21,0,4,0,8,0,4,0,2,1,1,4,79,97.5,38,342.25,1681,3540.25
Apache Commons Configuration,org.apache.commons.configuration2.io,DefaultFileSystem,120,178,8,30,20,54,9,20,2,8,0.597315436,0.789473684,29,11,21,101.5,100,8190.25,6480.25
Apache Commons Configuration,org.apache.commons.configuration2.io,CombinedLocationStrategy,0,53,0,8,0,15,0,7,0,3,1,1,7,77.5,96,55,342.25,506.25,1681
Apache Commons Configuration,org.apache.commons.configuration2.io,VerifiableOutputStream,0,3,0,0,0,1,0,1,0,1,1,0.83,1,77,42.5,3.5,1190.25,5402.25,1521
Apache Commons Configuration,org.apache.commons.configuration2.io,FileSystem,4,22,0,2,2,7,1,6,1,5,0.846153846,1,7,21.5,94.5,53.5,5329,1024,1681
Apache Commons Configuration,org.apache.commons.configuration2.io,DefaultFileSystem.HttpOutputStream,14,50,0,2,5,14,3,6,3,5,0.78125,1,9,17,94,60.5,5929,1892.25,1122.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.Updater,0,32,1,1,0,9,1,2,0,2,1,0.5,3,74.5,10,26.5,4160.25,2304,272.25
Apache Commons Configuration,org.apache.commons.configuration2.io,VFSFileSystem,450,95,59,13,108,29,40,6,5,5,0.174311927,0.180555556,46,4,4,102,0,9604,9604
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocator.FileLocatorBuilder,0,68,0,2,0,24,0,10,0,9,1,1,10,73,91.5,62.5,342.25,110.25,841
Apache Commons Configuration,org.apache.commons.configuration2.io,HomeDirectoryLocationStrategy,0,69,0,10,0,24,0,13,0,8,1,1,13,72.5,91,67.5,342.25,25,552.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocator,0,155,0,6,0,37,0,14,0,11,1,1,14,72,90.5,71.5,342.25,0.25,361
Apache Commons Configuration,org.apache.commons.configuration2.io,ConfigurationLogger,0,91,0,4,0,31,0,18,0,16,1,1,18,71.5,90,81.5,342.25,100,72.25
Apache Commons Configuration,org.apache.commons.configuration2.io,VFSFileSystem.VFSURLStreamHandler,12,0,0,0,4,0,2,0,2,0,0,0.83,2,2,40,14,1444,144,676
Apache Commons Configuration,org.apache.commons.configuration2.io,FileUtils,4,109,4,14,2,24,5,8,1,3,0.96460177,0.777777778,13,29,18,66,121,1369,2304
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler,65,875,4,74,13,285,4,112,0,77,0.930851064,0.948717949,116,24,67,102,1849,6084,1225
Apache Commons Configuration,org.apache.commons.configuration2.io,ProvidedURLLocationStrategy,0,6,0,0,0,2,0,2,0,2,1,0.83,2,68,38.5,13.5,870.25,2970.25,625
Apache Commons Configuration,org.apache.commons.configuration2.io,ClasspathLocationStrategy,0,13,0,2,0,3,0,3,0,2,1,1,3,67.5,85.5,24,324,1892.25,3782.25
Apache Commons Configuration,org.apache.commons.configuration2.sync,NoOpSynchronizer,0,18,0,0,0,6,0,5,0,5,1,0.83,5,67,38,41,841,676,9
Apache Commons Configuration,org.apache.commons.configuration2.sync,LockMode,0,24,0,0,0,3,0,1,0,1,1,0.83,1,66.5,37.5,3,841,4032.25,1190.25
Apache Commons Configuration,org.apache.commons.configuration2.sync,ReadWriteSynchronizer,0,38,0,2,0,14,0,8,0,7,1,1,8,66,83,50.5,289,240.25,1056.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,TokenMgrError,173,0,18,0,37,0,19,0,6,0,0,0,19,1.5,2,77.5,0.25,5776,5700.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration,132,481,14,44,29,98,11,29,1,10,0.784665579,0.75862069,40,14,16,89,4,5625,5329
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration.DateSeparatorParser,0,51,0,2,0,9,0,4,0,3,1,1,4,63.5,80.5,31.5,289,1024,2401
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration.ArrayNodeBuilder,0,18,0,0,0,5,0,3,0,3,1,0.83,3,63,35,22.5,784,1640.25,156.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration.new EntityResolver() {...},0,15,0,0,0,3,0,2,0,2,1,0.83,2,62.5,34.5,12,784,2550.25,506.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,Token,14,20,0,0,5,7,4,3,4,3,0.588235294,0.83,7,7,34,44,729,1369,100
Apache Commons Configuration,org.apache.commons.configuration2.plist,ParseException,182,189,22,10,34,32,20,5,2,3,0.509433962,0.3125,25,6,3,78,9,5184,5625
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration.XMLPropertyListHandler,12,275,4,38,1,65,4,27,0,10,0.958188153,0.904761905,31,23,51,81,784,3364,900
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration.DateTimeZoneParser,0,70,0,2,0,17,0,4,0,3,1,1,4,59,75,29,256,900,2116
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParserTokenManager,630,1373,153,145,153,257,114,83,7,20,0.685471792,0.486577181,197,9,5,89,16,6400,7056
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParser.JJCalls,0,3,0,0,0,1,0,1,0,1,1,0.83,1,57.5,31.5,2.5,676,3025,841
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration.DateComponentParser,0,38,0,4,0,6,0,4,0,2,1,1,4,57,72.5,27.5,240.25,870.25,2025
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration.DateFieldParser,0,73,0,0,0,14,0,4,0,4,1,0.83,4,56.5,31,27,650.25,870.25,16
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration.PListNodeBuilder,35,158,3,5,10,43,2,16,0,14,0.81865285,0.625,18,12,10.5,66,2.25,2916,3080.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,SimpleCharStream,752,304,40,20,124,70,47,20,24,12,0.287878788,0.333333333,67,2,3,81,1,6241,6084
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParser,631,999,92,110,102,212,77,74,11,37,0.612883436,0.544554455,151,5,6,83,1,6084,5929
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration,108,594,21,63,24,120,19,38,1,14,0.846153846,0.75,57,10,9.5,79.5,0.25,4830.25,4900
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParserConstants,0,124,0,0,0,1,0,1,0,1,1,0.83,1,52,26.5,2,650.25,2500,600.25
Apache Commons Configuration,org.apache.commons.configuration2.reloading,CombinedReloadingController,0,63,0,6,0,17,0,9,0,6,1,1,9,51.5,66,44,210.25,56.25,484
Apache Commons Configuration,org.apache.commons.configuration2.reloading,PeriodicReloadingTrigger,0,106,0,12,0,34,0,16,0,10,1,1,16,51,65.5,60.5,210.25,90.25,25
Apache Commons Configuration,org.apache.commons.configuration2.reloading,ManagedReloadingDetector,0,22,0,0,0,8,0,4,0,4,1,0.83,4,50.5,26,25.5,600.25,625,0.25
Apache Commons Configuration,org.apache.commons.configuration2.reloading,VFSFileHandlerReloadingDetector,23,99,0,8,4,27,0,10,0,6,0.81147541,1,10,9,64,45,3025,1296,361
Apache Commons Configuration,org.apache.commons.configuration2.reloading,CombinedReloadingController.MultiReloadingControllerDetector,0,43,0,6,0,12,0,6,0,3,1,1,6,49,63.5,34.5,210.25,210.25,841
Apache Commons Configuration,org.apache.commons.configuration2.reloading,PeriodicReloadingTrigger.new Runnable() {...},0,15,0,0,0,3,0,2,0,2,1,0.83,2,48.5,25.5,9.5,529,1521,256
Apache Commons Configuration,org.apache.commons.configuration2.reloading,FileHandlerReloadingDetector,3,134,0,20,2,37,0,22,0,12,0.97810219,1,22,18,62,64.5,1936,2162.25,6.25
Apache Commons Configuration,org.apache.commons.configuration2.reloading,ReloadingController,0,85,0,10,0,27,0,12,0,7,1,1,12,47,61.5,45,210.25,4,272.25
Apache Commons Configuration,org.apache.commons.configuration2.reloading,ReloadingEvent,0,22,0,0,0,6,0,4,0,4,1,0.83,4,46.5,25,24,462.25,506.25,1
Apache Commons Configuration,org.apache.commons.configuration2.interpol,InterpolatorSpecification.Builder,0,124,0,12,0,37,0,16,0,10,1,1,16,46,60,54,196,64,36
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup,64,107,3,5,18,31,9,10,7,8,0.625730994,0.625,19,5,8,58,9,2809,2500
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConstantLookup,0,109,1,7,0,32,1,9,0,6,1,0.875,10,44.5,37.5,41.5,49,9,16
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup.Variable,22,46,1,3,5,18,2,6,1,5,0.676470588,0.75,8,5,8,37,9,1024,841
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConfigurationInterpolator,0,268,0,32,0,71,0,39,0,23,1,1,39,43,56.5,63,182.25,400,42.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConfigurationInterpolator.new StrLookup() {...},0,18,0,2,0,3,0,3,0,2,1,1,3,42.5,56,18,182.25,600.25,1444
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup.new StrLookup() {...},1,20,1,1,0,3,1,2,0,2,0.952380952,0.5,3,14,4.5,17.5,90.25,12.25,169
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup.Variables,13,7,2,0,3,4,2,2,1,2,0.35,0,4,2,1.5,21.5,0.25,380.25,400
Apache Commons Configuration,org.apache.commons.configuration2.interpol,SystemPropertiesLookup,0,11,0,0,0,4,0,2,0,2,1,0.83,2,40,20.5,9,380.25,961,132.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,EnvironmentLookup,0,6,0,0,0,2,0,2,0,2,1,0.83,2,39.5,20,8.5,380.25,961,132.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,DefaultLookups,0,63,0,0,0,10,0,4,0,4,1,0.83,4,39,19.5,19,380.25,400,0.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,InterpolatorSpecification,0,39,0,0,0,14,0,5,0,5,1,0.83,5,38.5,19,22.5,380.25,256,12.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,DummyLookup,0,16,0,0,0,3,0,2,0,2,1,0.83,2,38,18.5,8,380.25,900,110.25
Apache Commons Configuration,org.apache.commons.configuration2.resolver,DefaultEntityResolver,40,25,3,3,12,8,3,4,1,3,0.384615385,0.5,7,2,3,26.5,1,600.25,552.25
Apache Commons Configuration,org.apache.commons.configuration2.resolver,CatalogResolver,49,140,6,8,7,43,5,14,0,12,0.740740741,0.571428571,19,4,3,46.5,1,1806.25,1892.25
Apache Commons Configuration,org.apache.commons.configuration2.resolver,CatalogResolver.CatalogManager,8,54,5,3,3,22,4,9,0,9,0.870967742,0.375,13,5,2,33.5,9,812.25,992.25
Apache Commons Configuration,org.apache.commons.configuration2.resolver,CatalogResolver.Catalog,69,176,8,12,15,42,7,7,0,4,0.718367347,0.6,14,3,2,36,1,1089,1156
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeUpdateData,3,47,0,4,1,15,1,8,1,6,0.94,1,9,7,44.5,29.5,1406.25,506.25,225
Apache Commons Configuration,org.apache.commons.configuration2.tree,TrackedNodeModel,0,134,1,7,0,36,1,19,0,16,1,0.875,20,32.5,25,44,56.25,132.25,361
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultConfigurationKey,2,497,5,83,1,119,5,67,0,28,0.995991984,0.943181818,72,10,29,51,361,1681,484
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction,4,538,3,41,0,135,3,54,0,35,0.992619926,0.931818182,57,9,28,50,361,1681,484
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.AddAttributeOperation,0,21,0,0,0,5,0,2,0,2,1,0.83,2,30,14,7.5,256,506.25,42.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeNameMatchers,0,24,0,0,0,3,0,1,0,1,1,0.83,1,29.5,13.5,1.5,256,784,144
Apache Commons Configuration,org.apache.commons.configuration2.tree,ImmutableNode,0,272,0,20,0,57,0,27,0,17,1,1,27,29,39,43,100,196,16
Apache Commons Configuration,org.apache.commons.configuration2.tree,OverrideCombiner,0,147,1,19,0,29,1,13,0,4,1,0.95,14,28.5,27,32.5,2.25,16,30.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeSelector,0,153,0,14,0,36,0,15,0,8,1,1,15,28,37.5,34.5,90.25,42.25,9
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngine,0,342,1,43,0,73,1,35,0,14,1,0.977272727,36,27.5,28,43,0.25,240.25,225
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTracker,8,344,2,26,1,79,2,28,0,16,0.977272727,0.928571429,30,8,25,42,289,1156,289
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.ChangeNodeValueOperation,0,16,0,0,0,4,0,2,0,2,1,0.83,2,26,13,6,169,400,49
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultConfigurationKey.KeyIterator,23,372,3,53,5,82,3,46,0,21,0.941772152,0.946428571,49,7,24,41,289,1156,289
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeNameMatchers.new NodeNameMatchers() {...},0,12,0,0,0,3,0,2,0,2,1,0.83,2,24.5,12.5,5.5,144,361,49
Apache Commons Configuration,org.apache.commons.configuration2.tree,QueryResult,0,113,0,8,0,27,0,14,0,10,1,1,14,24,32,30,64,36,4
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeNameMatchers.new NodeNameMatchers() {...},0,12,0,0,0,2,0,2,0,2,1,0.83,2,23.5,12,5,132.25,342.25,49
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeCombiner,0,31,0,0,0,10,0,6,0,6,1,0.83,6,23,11.5,19,132.25,16,56.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTracker.TrackedNodeData,0,95,0,8,0,18,0,13,0,9,1,1,13,22.5,29.5,26,49,12.25,12.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,TrackedNodeHandler,0,21,0,0,0,7,0,4,0,4,1,0.83,4,22,11,12.5,121,90.25,2.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ImmutableNode.Builder,0,177,0,24,0,61,0,29,0,17,1,1,29,21.5,28,34,42.25,156.25,36
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel,2,1059,7,87,0,266,7,97,0,57,0.998114986,0.925531915,104,7,19,34,144,729,225
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.AddAttributesOperation,0,16,0,0,0,4,0,2,0,2,1,0.83,2,20,10.5,4.5,90.25,240.25,36
Apache Commons Configuration,org.apache.commons.configuration2.tree,ReferenceTracker,13,133,4,16,2,35,4,12,0,6,0.910958904,0.8,16,4,2.5,27.5,2.25,552.25,625
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,79,0,8,0,18,0,6,0,2,1,1,6,18.5,24.5,16.5,36,4,64
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new ConfigurationNodeVisitorAdapter() {...},0,25,0,2,0,5,0,3,0,2,1,1,3,18,24,8,36,100,256
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,85,0,6,0,20,0,5,0,2,1,1,5,17.5,23.5,13,36,20.25,110.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,26,0,0,0,5,0,2,0,2,1,0.83,2,17,9,4,64,169,25
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,88,0,6,0,20,0,5,0,2,1,1,5,16.5,22,11.5,30.25,25,110.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,65,0,8,0,16,0,6,0,2,1,1,6,16,21.5,12,30.25,16,90.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,27,0,0,0,3,0,2,0,2,1,0.83,2,15.5,8.5,3.5,49,144,25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.Operations,0,149,0,16,0,36,0,15,0,7,1,1,15,15,20,19,25,16,1
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.ChangeNodeNameOperation,0,16,0,0,0,4,0,2,0,2,1,0.83,2,14.5,8,3,42.25,132.25,25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ConfigurationNodeVisitorAdapter,1,6,0,0,1,3,1,3,1,3,0.857142857,0.83,4,3,7.5,7,20.25,16,0.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,AbstractImmutableNodeHandler,0,115,0,14,0,24,0,22,0,15,1,1,22,13,17.5,21,20.25,64,12.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeAddData,0,38,0,2,0,13,0,7,0,6,1,1,7,12.5,17,9,20.25,12.25,64
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeCombiner.new AbstractImmutableNodeHandler() {...},4,3,0,0,2,1,2,1,2,1,0.428571429,0.83,3,2,7,4.5,25,6.25,6.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.Operation,0,6,0,0,0,1,0,1,0,1,1,0.83,1,11,6.5,1,20.25,100,30.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.RemoveAttributeOperation,0,16,0,0,0,4,0,2,0,2,1,0.83,2,10.5,6,1.5,20.25,81,20.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,TreeData,13,144,0,10,1,35,1,17,1,12,0.917197452,1,18,2,13.5,14.5,132.25,156.25,1
Apache Commons Configuration,org.apache.commons.configuration2.tree,MergeCombiner,0,218,1,27,0,47,1,18,0,5,1,0.964285714,19,9,10,15,1,36,25
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngineSymbols,0,166,0,4,0,45,0,14,0,12,1,1,14,8.5,12,11.5,12.25,9,0.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.new ConfigurationNodeVisitorAdapter() {...},0,23,0,0,0,5,0,2,0,2,1,0.83,2,8,5.5,1,6.25,49,20.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeHandlerDecorator,0,86,0,0,0,16,0,16,0,16,1,0.83,16,7.5,5,11,6.25,12.25,36
Apache Commons Configuration,org.apache.commons.configuration2.tree,TreeUtils,0,113,1,11,0,22,1,7,0,2,1,0.916666667,8,7,7,5.5,0,2.25,2.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,UnionCombiner,0,119,0,16,0,25,0,11,0,3,1,1,11,6.5,8.5,8,4,2.25,0.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTreeWalker,0,123,0,22,0,33,0,18,0,7,1,1,18,6,8,9,4,9,1
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngineSymbols.Builder,0,66,0,0,0,23,0,9,0,9,1,0.83,9,5.5,4.5,6,1,0.25,2.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.ChildrenUpdateOperation,0,144,0,10,0,33,0,14,0,9,1,1,14,5,6.5,7,2.25,4,0.25
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletConfiguration,0,26,0,0,0,8,0,4,0,4,1,0.83,4,4.5,4,2.5,0.25,4,2.25
Apache Commons Configuration,org.apache.commons.configuration2.web,BaseWebConfiguration,0,51,0,8,0,10,0,10,0,6,1,1,10,4,5,5,1,1,0
Apache Commons Configuration,org.apache.commons.configuration2.web,AppletConfiguration,45,0,4,0,9,0,5,0,3,0,0,0,5,1,1,3,0,4,4
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletContextConfiguration,0,29,0,0,0,9,0,4,0,4,1,0.83,4,2.5,2.5,2,0,0.25,0.25
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletFilterConfiguration,0,21,0,0,0,6,0,3,0,3,1,0.83,3,2,2,1,0,1,1
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletRequestConfiguration,6,71,2,8,1,16,2,6,0,3,0.922077922,0.8,8,1,1,1,0,0,0
,,,,,,,,,,,,,,,,,,,711004.75,1919163,1036439.75
,,,,,,,,,,,,,,,,,,,0.826878935,0.532707001,0.747639446
,,,,,,,,,,,,,,,,,,,0.694820218,-0.190641792,-0.102953229
