GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,rank.N,rank.o,rank.p,d^2(Q and R),d^2(Q and S),d^2(R and S)
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration.DefinedKeysVisitor,0,96,0,6,0,22,0,9,0,6,1,1,22,177.5,218.5,262,1681,7140.25,1892.25
Apache Commons Configuration,org.apache.commons.configuration2,EnvironmentConfiguration,0,22,0,0,0,5,0,4,0,4,1,0.83,5,177,81,174,9216,9,8649
Apache Commons Configuration,org.apache.commons.configuration2,DataConfiguration.DataConversionHandler,1,34,1,5,0,8,1,4,0,2,0.971428571,0.833333333,9,71,129.5,224.5,3422.25,23562.25,9025
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.DefaultIOFactory,0,14,0,0,0,3,0,3,0,3,1,0.83,3,175.5,80.5,173,9025,6.25,8556.25
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationXMLReader.SAXVisitor,6,85,3,7,0,20,3,8,0,6,0.934065934,0.7,23,50,21,66.5,841,272.25,2070.25
Apache Commons Configuration,org.apache.commons.configuration2,XMLDocumentHelper,0,192,0,4,0,58,0,20,0,18,1,1,58,174,214,257,1600,6889,1849
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils.new EventSource() {...},0,6,0,0,0,3,0,3,0,3,1,0.83,3,173.5,79,171,8930.25,6.25,8464
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils.new EventListener() {...},0,9,0,0,0,3,0,2,0,2,1,0.83,3,173,78.5,170,8930.25,9,8372.25
Apache Commons Configuration,org.apache.commons.configuration2,HierarchicalConfigurationXMLReader,0,35,0,0,0,13,0,6,0,6,1,0.83,13,172.5,78,169,8930.25,12.25,8281
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesWriter,11,214,0,20,2,54,1,25,1,15,0.951111111,1,55,55,210.5,253,24180.25,39204,1806.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout,13,661,3,83,4,173,3,77,0,37,0.980712166,0.965116279,176,76,160,235,7056,25281,5625
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfigurationXMLReader.SAXConverter,0,24,0,2,0,7,0,4,0,3,1,1,7,170,209,251,1521,6561,1764
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration,78,298,14,20,15,81,14,17,2,12,0.792553191,0.588235294,95,29,17,54.5,144,650.25,1406.25
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration,20,225,4,20,3,48,4,28,0,20,0.918367347,0.833333333,52,42,123,209.5,6561,28056.25,7482.25
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.new ConfigurationInterpolator() {...},0,15,0,0,0,3,0,2,0,2,1,0.83,3,167.5,76.5,166,8281,2.25,8010.25
Apache Commons Configuration,org.apache.commons.configuration2,AbstractHierarchicalConfiguration,6,575,1,51,2,136,1,60,0,35,0.989672978,0.980769231,137,78,161,232,6889,23716,5041
Apache Commons Configuration,org.apache.commons.configuration2,PatternSubtreeConfigurationWrapper,430,86,12,6,73,18,66,6,57,6,0.166666667,0.333333333,84,4,7.5,26.5,12.25,506.25,361
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap,0,36,0,0,0,10,0,5,0,5,1,0.83,10,165,75,164,8100,1,7921
Apache Commons Configuration,org.apache.commons.configuration2,AbstractConfiguration,80,1405,17,111,10,346,15,155,0,105,0.946127946,0.8671875,361,50,122,204,5184,23716,6724
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.ConfigData,0,21,0,0,0,8,0,4,0,4,1,0.83,8,163.5,74.5,162.5,7921,1,7744
Apache Commons Configuration,org.apache.commons.configuration2,BaseConfiguration,6,136,0,8,2,35,0,15,0,11,0.957746479,1,35,56,200.5,242,20880.25,34596,1722.25
Apache Commons Configuration,org.apache.commons.configuration2,CombinedConfiguration,2,715,3,67,0,201,3,68,0,36,0.9972106,0.957142857,204,81,151,225,4900,20736,5476
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration.new EntityResolver() {...},0,15,0,0,0,2,0,2,0,2,1,0.83,2,161,74,161,7569,0,7569
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration.CurrentConfigHolder,0,35,0,2,0,10,0,7,0,6,1,1,10,160.5,198,239,1406.25,6162.25,1681
Apache Commons Configuration,org.apache.commons.configuration2,DataConfiguration,22,667,2,10,3,121,4,94,2,90,0.968069666,0.833333333,125,61,117.5,198,3192.25,18769,6480.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration,47,474,13,57,8,132,13,48,0,26,0.909788868,0.814285714,145,38,30,84.5,64,2162.25,2970.25
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesReader,0,196,1,11,0,51,1,19,0,14,1,0.916666667,52,158,129,208,841,2500,6241
Apache Commons Configuration,org.apache.commons.configuration2,SubnodeConfiguration,0,72,0,4,0,20,0,11,0,9,1,1,20,157.5,194.5,235,1369,6006.25,1640.25
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.new BaseHierarchicalConfiguration() {...},5,13,0,0,1,2,1,2,1,2,0.722222222,0.83,3,23,72.5,159,2450.25,18496,7482.25
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.new EventListener() {...},0,11,0,0,0,3,0,2,0,2,1,0.83,3,156,72,158,7056,4,7396
Apache Commons Configuration,org.apache.commons.configuration2,PrefixedKeysIterator,9,75,3,13,2,19,3,10,0,5,0.892857143,0.8125,22,36,29,81.5,49,2070.25,2756.25
